code,name,market,sector,theme
5753,日本伸銅,Standard,非鉄金属,内需・ディフェンシブ
5757,ＣＫサンエツ,Prime,非鉄金属,内需・ディフェンシブ
5801,古河電気工業,Prime,非鉄金属,内需・ディフェンシブ
5802,住友電気工業,Prime,非鉄金属,内需・ディフェンシブ
5803,フジクラ,Prime,非鉄金属,内需・ディフェンシブ
5805,ＳＷＣＣ,Prime,非鉄金属,内需・ディフェンシブ
5816,オーナンバ,Standard,非鉄金属,内需・ディフェンシブ
5817,ＪＭＡＣＳ,Standard,非鉄金属,内需・ディフェンシブ
5819,カナレ電気,Standard,非鉄金属,内需・ディフェンシブ
5820,三ッ星,Standard,非鉄金属,内需・ディフェンシブ
5821,平河ヒューテック,Prime,非鉄金属,内需・ディフェンシブ
5830,いよぎんホールディングス,Prime,銀行業,内需・ディフェンシブ
5831,しずおかフィナンシャルグループ,Prime,銀行業,内需・ディフェンシブ
5832,ちゅうぎんフィナンシャルグループ,Prime,銀行業,内需・ディフェンシブ
5834,ＳＢＩリーシングサービス,Growth,証券、商品先物取引業,フィンテック・暗号資産
5838,楽天銀行,Prime,銀行業,内需・ディフェンシブ
5840,日本総険,PRO,保険業,内需・ディフェンシブ
5842,インテグラル,Growth,証券、商品先物取引業,フィンテック・暗号資産
5843,ニッポンインシュア,Standard,その他金融業,フィンテック・暗号資産
5844,京都フィナンシャルグループ,Prime,銀行業,内需・ディフェンシブ
5845,全保連,Standard,その他金融業,フィンテック・暗号資産
5851,リョービ,Prime,非鉄金属,内需・ディフェンシブ
5852,アーレスティ,Prime,非鉄金属,内需・ディフェンシブ
5856,エルアイイーエイチ,Standard,小売業,内需・ディフェンシブ
5857,ＡＲＥホールディングス,Prime,非鉄金属,内需・ディフェンシブ
5858,ＳＴＧ,Growth,非鉄金属,内需・ディフェンシブ
5866,ＷｉｚＢｉｚ,PRO,サービス業,サービス
5867,エスネットワークス,Growth,サービス業,サービス
5868,ロココ,Standard,サービス業,サービス
5869,早稲田学習研究会,Standard,サービス業,サービス
5870,ナルネットコミュニケーションズ,Growth,サービス業,サービス
5871,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ,Standard,サービス業,サービス
5883,ＧＴホールディングス,PRO,卸売業,内需・ディフェンシブ
5884,クラダシ,Growth,小売業,内需・ディフェンシブ
5885,ジーデップ・アドバンス,Standard,卸売業,内需・ディフェンシブ
